alphas,e,z,e_err,z_err
0.00000,0.00000,1.00000,0.00000,0.00000
0.50000,-0.50443,0.77394,0.00010,0.00006
1.00000,-1.01695,0.59191,0.00198,0.00001
1.50000,-1.53909,0.44547,0.00217,0.00001
2.00000,-2.07113,0.33036,0.00237,0.00000
2.50000,-2.61485,0.23961,0.00265,0.00000
3.00000,-3.17065,0.17014,0.00302,0.00000
3.50000,-3.74041,0.11802,0.00307,0.00000
4.00000,-4.32380,0.08100,0.00331,0.00000
4.50000,-4.92878,0.05248,0.00015,0.00007
5.00000,-5.55253,0.03169,0.00019,0.00005
5.50000,-6.20905,0.01830,0.00037,0.00004
6.00000,-6.87579,0.01250,0.00044,0.00003
6.50000,-7.57288,0.00854,0.00069,0.00003
7.00000,-8.31599,0.00611,0.00092,0.00003
7.50000,-9.09825,0.00306,0.00116,0.00002
8.00000,-9.91463,0.00242,0.00135,0.00001
