p,e,z,e_err,z_err
0.00000,-5.55227,0.03172,0.00021,0.00000
0.25000,-5.54349,0.03049,0.00020,0.00000
0.50000,-5.51641,0.02921,0.00019,0.00000
0.75000,-5.47570,0.02510,0.00022,0.00000
1.00000,-5.42164,0.02099,0.00023,0.00000
1.25000,-5.36182,0.01511,0.00026,0.00000
1.50000,-5.29192,0.01238,0.00028,0.00000
1.75000,-5.22707,0.00785,0.00029,0.00000
2.00000,-5.15212,0.00696,0.00032,0.00000
2.25000,-5.08071,0.00571,0.00035,0.00000
2.50000,-5.01386,0.00414,0.00053,0.00000
2.75000,-4.94547,0.00351,0.00056,0.00000
3.00000,-4.87711,0.00310,0.00084,0.00000
3.25000,-4.82202,0.00230,0.00090,0.00000
3.50000,-4.77268,0.00141,0.00515,0.00000
3.75000,-4.70528,0.00174,0.00219,0.00000
4.00000,-4.65802,0.00124,0.00219,0.00000
4.25000,-4.60711,0.00106,0.00831,0.00000
4.50000,-4.55159,0.00114,0.00434,0.00000
4.75000,-4.51441,0.00095,0.01189,0.00000
5.00000,-4.48290,0.00091,0.00381,0.00000
